galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.signal_scale,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,    log_likelihood,         log_prior,     log_posterior,                weight
                      0.3143884097941274,                     0.11246886102135584,                0.8739061107508002,        0.01889348101417651,         0.0980561469775394,                                    0.030569693684436645,                                         0.002617843933957419,                                            50.91019018375974,             -0.019444487127176713,              0.052468488336853025, 7473.016144747079, 384.1925392946511,7857.2086840417305, 5.285428798617168e-10
                     0.30841038014836164,                     0.10750811841302113,                0.8703597450373557,       0.016148352038330503,        0.09581198462435349,                                     0.02626818868877034,                                       0.00012880951100019736,                                            56.04638685561486,              -0.01816472589127235,               0.05801743325752021, 7486.768985202796, 7765.925438138752,15252.694423341549, 0.0004964356335997033
                       0.308633330370757,                      0.1083279781384621,                0.8710490160269906,       0.016362866176970747,         0.0956546508181237,                                    0.026662732919471865,                                       0.00014089631646418163,                                            55.48597965220913,              -0.01803539722107528,               0.05662932252031033,7474.5721626608065, 7099.912727043554, 14574.48488970436, 2.505245094311585e-09
                      0.3116387780802989,                     0.10803905842849373,                0.8720444909082445,       0.015937448114318267,        0.09727779517939525,                                    0.030173076304509557,                                        0.0001365759765756243,                                            51.83017174521058,             -0.019120066753140118,               0.05588954610461197, 7489.182689497931, 7324.308324693089, 14813.49101419102,  0.005547807756803683
                     0.31175832808915954,                     0.10763582562232155,                0.8718275067535651,       0.015630179354439222,        0.09776737312811903,                                     0.02779700024028809,                                       0.00026926890587303687,                                           54.839340317003746,             -0.019128633417328584,              0.056606190942743606, 7486.164023386554, 3716.124525223998,11202.288548610552, 0.0002711011554446549
                     0.31361875373258435,                     0.11182313319150884,                0.8738531828454101,       0.018246254687083706,        0.09761447921600602,                                     0.03403401623977055,                                        0.0004820814236953329,                                            44.95102075806315,             -0.019250711250746032,               0.05265662371687986, 7487.561013164681, 2076.582961217786, 9564.143974382467, 0.0010960650267052196
                      0.3127562478519844,                     0.11111749483287389,                0.8731776084722918,       0.017681185880257196,        0.09731331290424908,                                    0.027012212052558018,                                       0.00011060863751183637,                                            53.64162584589332,             -0.019278442315092074,               0.05349243448326399, 7487.922146029713, 9043.175768376985,  16531.0979144067, 0.0008217104415814548
                      0.3142969366309829,                     0.11201866638701267,                0.8741842003836211,       0.018133062617769362,        0.09785230057480825,                                    0.028495453873175817,                                         0.000448083183723378,                                            52.58819259109388,             -0.020063769734640483,              0.052272109605006015,  7486.68123226676,2233.9502691472517, 9720.631501414013,0.00023757284902888606
                     0.30923644456096516,                      0.1084725089664399,                0.8710809995802868,       0.016460741030123068,        0.09609991876530166,                                     0.03072389337635703,                                         0.002590797833471655,                                            48.73776295519091,             -0.018305442211563588,               0.05684114328651531,7477.2916215613495, 388.4541767238449, 7865.745798285195,1.9858236989866688e-08
                     0.31543048011864644,                     0.11164250659371941,                0.8741809539155111,       0.018133511447183625,        0.09889421066460577,                                     0.02794200446060012,                                       0.00036523295372139656,                                           55.494352550524326,             -0.019909704214253334,               0.05227239383821051,  7489.78545712248,2740.1278579311806, 10229.91331505366,  0.005295957988575804
